#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.49800000E+04       0.21253384E+01       0.10736119E+04       0.98891161E+03
      0.50000000E+04       0.21253383E+01       0.10736119E+04       0.98891161E+03
      0.50200000E+04       0.21253383E+01       0.10736119E+04       0.98891161E+03
      0.50400000E+04       0.21253383E+01       0.10736119E+04       0.98891161E+03
      0.50600000E+04       0.21253382E+01       0.10736119E+04       0.98891161E+03
      0.50800000E+04       0.21253382E+01       0.10736119E+04       0.98891161E+03
      0.51000000E+04       0.21253382E+01       0.10736119E+04       0.98891161E+03
      0.51200000E+04       0.21253382E+01       0.10736119E+04       0.98891161E+03
      0.51400000E+04       0.21253381E+01       0.10736119E+04       0.98891161E+03
      0.51600000E+04       0.21253381E+01       0.10736119E+04       0.98891161E+03
      0.51800000E+04       0.21253381E+01       0.10736119E+04       0.98891161E+03
      0.52000000E+04       0.21253381E+01       0.10736119E+04       0.98891161E+03
      0.52200000E+04       0.21253381E+01       0.10736119E+04       0.98891161E+03
      0.52400000E+04       0.21253381E+01       0.10736119E+04       0.98891161E+03
      0.52600000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.52800000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.53000000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.53200000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.53400000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.53600000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.53800000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.54000000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.54200000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.54400000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.54600000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.54800000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.55000000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.55200000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.55400000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.55600000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.55800000E+04       0.21253380E+01       0.10736119E+04       0.98891161E+03
      0.56000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.56200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.56400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.56600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.56800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.57000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.57200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.57400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.57600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.57800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.58000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.58200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.58400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.58600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.58800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.59000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.59200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.59400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.59600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.59800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.60000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.60200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.60400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.60600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.60800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.61000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.61200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.61400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.61600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.61800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.62000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.62200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.62400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
